,story_key,treatment_key,author_stance,editor_stance,bertscore_precision,bertscore_recall,bertscore_f1,fact_presence_avg
0,tariffs,pro_vs_anti,pro,anti,0.3134966194629669,0.5079280138015747,0.4099087417125702,0.6283200979232788
1,tariffs,pro_vs_anti,pro,anti,0.06914059817790985,0.38649481534957886,0.22421017289161682,0.721164345741272
2,tariffs,pro_vs_anti,pro,anti,-0.06013025715947151,-0.14547975361347198,-0.10139138996601105,0.32233285903930664
3,tariffs,pro_vs_anti,pro,anti,0.17106524109840393,0.35357367992401123,0.26192256808280945,0.615479052066803
4,tariffs,pro_vs_anti,pro,anti,-0.10437506437301636,-0.16319143772125244,-0.13212282955646515,0.27075910568237305
5,tariffs,pro_vs_anti,pro,anti,0.3363930284976959,0.4043617844581604,0.3711845278739929,0.7379230856895447
6,tariffs,pro_vs_anti,pro,anti,0.25380006432533264,0.4030759930610657,0.32847559452056885,0.5698568820953369
7,tariffs,pro_vs_anti,pro,anti,-0.07005468755960464,-0.21982236206531525,-0.14425112307071686,0.09631183743476868
8,tariffs,pro_vs_anti,pro,anti,0.12039246410131454,0.34349074959754944,0.2307899296283722,0.6294424533843994
9,tariffs,pro_vs_anti,pro,anti,0.20292246341705322,0.47765594720840454,0.3377958834171295,0.7724368572235107
10,tariffs,anti_vs_pro,anti,pro,0.0072125885635614395,-0.10045701265335083,-0.04551657289266586,0.2524854242801666
11,tariffs,anti_vs_pro,anti,pro,0.1873723566532135,0.2374809831380844,0.21358564496040344,0.5954002737998962
12,tariffs,anti_vs_pro,anti,pro,0.3121166527271271,0.5105816721916199,0.41047096252441406,0.5789843201637268
13,tariffs,anti_vs_pro,anti,pro,0.07434070855379105,0.1498669981956482,0.1132657527923584,0.5499184727668762
14,tariffs,anti_vs_pro,anti,pro,0.04766944795846939,-0.03828217461705208,0.00593524007126689,0.3760533034801483
15,tariffs,anti_vs_pro,anti,pro,0.31712183356285095,0.27125635743141174,0.29523423314094543,0.5769803524017334
16,tariffs,anti_vs_pro,anti,pro,0.14830608665943146,0.10493481159210205,0.12794563174247742,0.4547663629055023
17,tariffs,anti_vs_pro,anti,pro,0.29433968663215637,0.2823021113872528,0.2894698977470398,0.5504035353660583
18,tariffs,anti_vs_pro,anti,pro,0.12080564349889755,0.5546440482139587,0.32990023493766785,0.6715609431266785
19,tariffs,anti_vs_pro,anti,pro,-0.11925975978374481,-0.006816975772380829,-0.061956264078617096,0.5021985769271851
20,tariffs,neutral_vs_pro,neutral,pro,-0.04500925540924072,-0.11372768878936768,-0.07785914838314056,0.3622639775276184
21,tariffs,neutral_vs_pro,neutral,pro,-0.027383003383874893,-0.13250726461410522,-0.07876147329807281,0.21211455762386322
22,tariffs,neutral_vs_pro,neutral,pro,-0.11986042559146881,-0.0315232090651989,-0.07434306293725967,0.42869749665260315
23,tariffs,neutral_vs_pro,neutral,pro,0.4050447344779968,0.47150149941444397,0.4389820992946625,0.6425327658653259
24,tariffs,neutral_vs_pro,neutral,pro,-0.06919720023870468,-0.0697537362575531,-0.067737877368927,0.36203646659851074
25,tariffs,neutral_vs_pro,neutral,pro,-0.07091217488050461,-0.21860024333000183,-0.14403675496578217,0.09855430573225021
26,tariffs,neutral_vs_pro,neutral,pro,0.0005281472695060074,-0.1035124808549881,-0.0503397062420845,0.2680681347846985
27,tariffs,neutral_vs_pro,neutral,pro,-0.23537787795066833,-0.22513140738010406,-0.2282612919807434,0.12031897157430649
28,tariffs,neutral_vs_pro,neutral,pro,-0.08631581813097,-0.1790779083967209,-0.1313059777021408,0.17428059875965118
29,tariffs,neutral_vs_pro,neutral,pro,0.10925538092851639,0.38819587230682373,0.2462061643600464,0.5550768971443176
30,tariffs,pro_vs_neutral,pro,neutral,0.08137819170951843,0.24628978967666626,0.16386502981185913,0.5321413278579712
31,tariffs,pro_vs_neutral,pro,neutral,0.2613586187362671,0.5352224707603455,0.3957635462284088,0.6568026542663574
32,tariffs,pro_vs_neutral,pro,neutral,0.24836045503616333,0.5469731688499451,0.3944780230522156,0.6300612688064575
33,tariffs,pro_vs_neutral,pro,neutral,-0.0895526260137558,-0.19435067474842072,-0.14067111909389496,0.18053710460662842
34,tariffs,pro_vs_neutral,pro,neutral,0.2811749279499054,0.52305006980896,0.4003528654575348,0.6369781494140625
35,tariffs,pro_vs_neutral,pro,neutral,0.2464756816625595,0.5557547211647034,0.39762046933174133,0.7287036776542664
36,tariffs,pro_vs_neutral,pro,neutral,0.10117045044898987,0.5124149918556213,0.29987478256225586,0.6958198547363281
37,tariffs,pro_vs_neutral,pro,neutral,0.08126534521579742,0.40563836693763733,0.2396165132522583,0.742950439453125
38,tariffs,pro_vs_neutral,pro,neutral,0.08470413833856583,0.33305978775024414,0.207179993391037,0.6924930810928345
39,tariffs,pro_vs_neutral,pro,neutral,0.13096460700035095,0.4024406969547272,0.2643636167049408,0.6587539911270142
40,tariffs,control,neutral,neutral,-0.08895266801118851,-0.19825083017349243,-0.14236876368522644,0.085671067237854
41,tariffs,control,neutral,neutral,0.3168080747127533,0.5956965684890747,0.45354047417640686,0.8182427883148193
42,tariffs,control,neutral,neutral,-0.03988555446267128,-0.20102402567863464,-0.11998501420021057,0.12963269650936127
43,tariffs,control,neutral,neutral,-0.033850595355033875,-0.2227504849433899,-0.12832492589950562,0.09794896841049194
44,tariffs,control,neutral,neutral,-0.07595734298229218,-0.19892184436321259,-0.1363816112279892,0.0791860818862915
45,tariffs,control,neutral,neutral,-0.07851388305425644,-0.19805699586868286,-0.1371825933456421,0.12189607322216034
