,treatment_key,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_recall,bertscore_recall,bertscore_f1,bertscore_f1,fact_presence_avg,fact_presence_avg
,,mean,std,count,mean,std,mean,std,mean,std
0,anti_vs_pro,0.15737447464838625,0.16518908664828255,50,0.3262458201264963,0.28535607359169846,0.2403748111706227,0.2149519234531747,0.5395131132006645,0.24420798552904946
1,control,0.011785650426754729,0.14865948227064643,50,0.07426133055239915,0.3149618483432381,0.042480644714087246,0.2219065626351057,0.37226150043308737,0.3057025494662626
2,neutral_vs_pro,0.014399310417938977,0.1176670959558087,50,0.0654178898932878,0.23472341782606043,0.03996842781547457,0.16305290932247077,0.4240170815587044,0.2429523508841782
3,pro_vs_anti,0.13497709801420568,0.19583449160195465,50,0.27282256399979815,0.3045383131673133,0.20308988427743316,0.24141875728801573,0.48264164455235004,0.24406751869660515
4,pro_vs_neutral,0.11468615923076868,0.13347098176274821,50,0.3985817212238908,0.24716024887748497,0.2531055427994579,0.1829390066045013,0.6770495134592056,0.1916729071624744
